Source;Target;Value;GEO;Year;Tag
Energy Use;Public administration;1;Yukon;2009;Super-Sankey
Energy Use;Residential;1;Yukon;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Yukon;2009;Super-Sankey
Energy Use;Industrial;1;Yukon;2009;Super-Sankey
Energy Use;Transportation;4;Yukon;2009;Super-Sankey
Crude Oil Production;Energy Production;39;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
NGL's Production;Energy Production;0;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Natural Gas Production;Energy Production;9;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;2;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Use;Agriculture;0;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Use;Commercial;4;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Total Use;Non-energy use;1;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Use;Producer consumption;1;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Use;Public administration;2;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Use;Residential;3;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Use;Industrial;9;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Energy Use;Transportation;10;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Crude Oil Production;Energy Production;4695;Alberta;2010;Super-Sankey
NGL's Production;Energy Production;431;Alberta;2010;Super-Sankey
Natural Gas Production;Energy Production;4317;Alberta;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;11;Alberta;2010;Super-Sankey
Total Coal Production;Energy Production;657;Alberta;2010;Super-Sankey
Energy Use;Agriculture;48;Alberta;2010;Super-Sankey
Energy Use;Commercial;170;Alberta;2010;Super-Sankey
Total Energy Inputs;Energy Exports;3608;Alberta;2010;Super-Sankey
Energy Imports;Total Energy Inputs;19;Alberta;2010;Super-Sankey
Total Energy Inputs;To Other Provinces;3745;Alberta;2010;Super-Sankey
Total Use;Non-energy use;470;Alberta;2010;Super-Sankey
Energy Use;Producer consumption;661;Alberta;2010;Super-Sankey
Energy Use;Public administration;15;Alberta;2010;Super-Sankey
Energy Use;Residential;200;Alberta;2010;Super-Sankey
Stocks;Total Energy Inputs;16;Alberta;2010;Super-Sankey
Energy Use;Industrial;786;Alberta;2010;Super-Sankey
Energy Use;Transportation;439;Alberta;2010;Super-Sankey
Crude Oil Production;Energy Production;644;Atlantic provinces;2010;Super-Sankey
NGL's Production;Energy Production;11;Atlantic provinces;2010;Super-Sankey
Natural Gas Production;Energy Production;156;Atlantic provinces;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;166;Atlantic provinces;2010;Super-Sankey
Total Coal Production;Energy Production;0;Atlantic provinces;2010;Super-Sankey
Energy Use;Agriculture;12;Atlantic provinces;2010;Super-Sankey
Energy Use;Commercial;41;Atlantic provinces;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1109;Atlantic provinces;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1121;Atlantic provinces;2010;Super-Sankey
Total Energy Inputs;To Other Provinces;243;Atlantic provinces;2010;Super-Sankey
Total Use;Non-energy use;42;Atlantic provinces;2010;Super-Sankey
Energy Use;Producer consumption;134;Atlantic provinces;2010;Super-Sankey
Energy Use;Public administration;22;Atlantic provinces;2010;Super-Sankey
Energy Use;Residential;91;Atlantic provinces;2010;Super-Sankey
Stocks;Total Energy Inputs;10;Atlantic provinces;2010;Super-Sankey
Energy Use;Industrial;109;Atlantic provinces;2010;Super-Sankey
Energy Use;Transportation;194;Atlantic provinces;2010;Super-Sankey
Crude Oil Production;Energy Production;76;British Columbia;2010;Super-Sankey
NGL's Production;Energy Production;39;British Columbia;2010;Super-Sankey
Natural Gas Production;Energy Production;1275;British Columbia;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;195;British Columbia;2010;Super-Sankey
Total Coal Production;Energy Production;672;British Columbia;2010;Super-Sankey
Energy Use;Agriculture;18;British Columbia;2010;Super-Sankey
Energy Use;Commercial;90;British Columbia;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;British Columbia;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;British Columbia;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;British Columbia;2010;Super-Sankey
Total Use;Non-energy use;1;British Columbia;2010;Super-Sankey
Energy Use;Producer consumption;1;British Columbia;2010;Super-Sankey
Energy Use;Public administration;11;British Columbia;2010;Super-Sankey
Energy Use;Residential;137;British Columbia;2010;Super-Sankey
Total Energy Inputs;Stocks;1;British Columbia;2010;Super-Sankey
Energy Use;Industrial;197;British Columbia;2010;Super-Sankey
Energy Use;Transportation;363;British Columbia;2010;Super-Sankey
Crude Oil Production;Energy Production;6493;Canada;2010;Super-Sankey
NGL's Production;Energy Production;615;Canada;2010;Super-Sankey
Natural Gas Production;Energy Production;6021;Canada;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1592;Canada;2010;Super-Sankey
Total Coal Production;Energy Production;1483;Canada;2010;Super-Sankey
Energy Use;Agriculture;246;Canada;2010;Super-Sankey
Energy Use;Commercial;906;Canada;2010;Super-Sankey
Total Energy Inputs;Energy Exports;10185;Canada;2010;Super-Sankey
Energy Imports;Total Energy Inputs;3607;Canada;2010;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Canada;2010;Super-Sankey
Total Use;Non-energy use;1021;Canada;2010;Super-Sankey
Energy Use;Producer consumption;1279;Canada;2010;Super-Sankey
Energy Use;Public administration;122;Canada;2010;Super-Sankey
Energy Use;Residential;1316;Canada;2010;Super-Sankey
Stocks;Total Energy Inputs;392;Canada;2010;Super-Sankey
Energy Use;Industrial;2336;Canada;2010;Super-Sankey
Energy Use;Transportation;2626;Canada;2010;Super-Sankey
Crude Oil Production;Energy Production;73;Manitoba;2010;Super-Sankey
NGL's Production;Energy Production;0;Manitoba;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;121;Manitoba;2010;Super-Sankey
Energy Use;Agriculture;18;Manitoba;2010;Super-Sankey
Energy Use;Commercial;41;Manitoba;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;Manitoba;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;Manitoba;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Manitoba;2010;Super-Sankey
Total Use;Non-energy use;1;Manitoba;2010;Super-Sankey
Energy Use;Producer consumption;1;Manitoba;2010;Super-Sankey
Energy Use;Public administration;5;Manitoba;2010;Super-Sankey
Energy Use;Residential;47;Manitoba;2010;Super-Sankey
Total Energy Inputs;Stocks;1;Manitoba;2010;Super-Sankey
Energy Use;Industrial;55;Manitoba;2010;Super-Sankey
Energy Use;Transportation;86;Manitoba;2010;Super-Sankey
Natural Gas Production;Energy Production;6;New Brunswick;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;13;New Brunswick;2010;Super-Sankey
Total Coal Production;Energy Production;0;New Brunswick;2010;Super-Sankey
Energy Use;Agriculture;5;New Brunswick;2010;Super-Sankey
Energy Use;Commercial;12;New Brunswick;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;New Brunswick;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;New Brunswick;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;New Brunswick;2010;Super-Sankey
Total Use;Non-energy use;1;New Brunswick;2010;Super-Sankey
Energy Use;Producer consumption;1;New Brunswick;2010;Super-Sankey
Energy Use;Public administration;7;New Brunswick;2010;Super-Sankey
Energy Use;Residential;29;New Brunswick;2010;Super-Sankey
Total Energy Inputs;Stocks;1;New Brunswick;2010;Super-Sankey
Energy Use;Industrial;47;New Brunswick;2010;Super-Sankey
Energy Use;Transportation;60;New Brunswick;2010;Super-Sankey
Crude Oil Production;Energy Production;1;Newfoundland and Labrador;2010;Super-Sankey
Natural Gas Production;Energy Production;22;Newfoundland and Labrador;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;146;Newfoundland and Labrador;2010;Super-Sankey
Energy Use;Agriculture;0;Newfoundland and Labrador;2010;Super-Sankey
Energy Use;Commercial;10;Newfoundland and Labrador;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;Newfoundland and Labrador;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;Newfoundland and Labrador;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Newfoundland and Labrador;2010;Super-Sankey
Total Use;Non-energy use;1;Newfoundland and Labrador;2010;Super-Sankey
Energy Use;Producer consumption;1;Newfoundland and Labrador;2010;Super-Sankey
Energy Use;Public administration;7;Newfoundland and Labrador;2010;Super-Sankey
Energy Use;Residential;19;Newfoundland and Labrador;2010;Super-Sankey
Total Energy Inputs;Stocks;1;Newfoundland and Labrador;2010;Super-Sankey
Energy Use;Industrial;30;Newfoundland and Labrador;2010;Super-Sankey
Energy Use;Transportation;54;Newfoundland and Labrador;2010;Super-Sankey
Crude Oil Production;Energy Production;38;Northwest Territories;2010;Super-Sankey
Natural Gas Production;Energy Production;7;Northwest Territories;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Northwest Territories;2010;Super-Sankey
Energy Use;Agriculture;1;Northwest Territories;2010;Super-Sankey
Energy Use;Commercial;3;Northwest Territories;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;Northwest Territories;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Northwest Territories;2010;Super-Sankey
Total Use;Non-energy use;1;Northwest Territories;2010;Super-Sankey
Energy Use;Producer consumption;1;Northwest Territories;2010;Super-Sankey
Energy Use;Public administration;0;Northwest Territories;2010;Super-Sankey
Energy Use;Residential;2;Northwest Territories;2010;Super-Sankey
Total Energy Inputs;Stocks;1;Northwest Territories;2010;Super-Sankey
Energy Use;Industrial;7;Northwest Territories;2010;Super-Sankey
Energy Use;Transportation;3;Northwest Territories;2010;Super-Sankey
Crude Oil Production;Energy Production;1;Nova Scotia;2010;Super-Sankey
NGL's Production;Energy Production;11;Nova Scotia;2010;Super-Sankey
Natural Gas Production;Energy Production;128;Nova Scotia;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;5;Nova Scotia;2010;Super-Sankey
Total Coal Production;Energy Production;0;Nova Scotia;2010;Super-Sankey
Energy Use;Agriculture;4;Nova Scotia;2010;Super-Sankey
Energy Use;Commercial;16;Nova Scotia;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nova Scotia;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;Nova Scotia;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nova Scotia;2010;Super-Sankey
Total Use;Non-energy use;1;Nova Scotia;2010;Super-Sankey
Energy Use;Producer consumption;1;Nova Scotia;2010;Super-Sankey
Energy Use;Public administration;7;Nova Scotia;2010;Super-Sankey
Energy Use;Residential;38;Nova Scotia;2010;Super-Sankey
Total Energy Inputs;Stocks;1;Nova Scotia;2010;Super-Sankey
Energy Use;Industrial;28;Nova Scotia;2010;Super-Sankey
Energy Use;Transportation;70;Nova Scotia;2010;Super-Sankey
Energy Use;Agriculture;0;Nunavut;2010;Super-Sankey
Energy Use;Commercial;1;Nunavut;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nunavut;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nunavut;2010;Super-Sankey
Total Use;Non-energy use;0;Nunavut;2010;Super-Sankey
Energy Use;Public administration;0;Nunavut;2010;Super-Sankey
Energy Use;Residential;0;Nunavut;2010;Super-Sankey
Energy Use;Industrial;2;Nunavut;2010;Super-Sankey
Energy Use;Transportation;2;Nunavut;2010;Super-Sankey
Crude Oil Production;Energy Production;3;Ontario;2010;Super-Sankey
NGL's Production;Energy Production;132;Ontario;2010;Super-Sankey
Natural Gas Production;Energy Production;7;Ontario;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;424;Ontario;2010;Super-Sankey
Energy Use;Agriculture;60;Ontario;2010;Super-Sankey
Energy Use;Commercial;360;Ontario;2010;Super-Sankey
Total Energy Inputs;Energy Exports;655;Ontario;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1305;Ontario;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1230;Ontario;2010;Super-Sankey
Total Use;Non-energy use;304;Ontario;2010;Super-Sankey
Energy Use;Producer consumption;143;Ontario;2010;Super-Sankey
Energy Use;Public administration;20;Ontario;2010;Super-Sankey
Energy Use;Residential;520;Ontario;2010;Super-Sankey
Stocks;Total Energy Inputs;272;Ontario;2010;Super-Sankey
Energy Use;Industrial;571;Ontario;2010;Super-Sankey
Energy Use;Transportation;877;Ontario;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;2;Prince Edward Island;2010;Super-Sankey
Energy Use;Agriculture;2;Prince Edward Island;2010;Super-Sankey
Energy Use;Commercial;2;Prince Edward Island;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Prince Edward Island;2010;Super-Sankey
Total Use;Non-energy use;1;Prince Edward Island;2010;Super-Sankey
Energy Use;Producer consumption;1;Prince Edward Island;2010;Super-Sankey
Energy Use;Public administration;1;Prince Edward Island;2010;Super-Sankey
Energy Use;Residential;6;Prince Edward Island;2010;Super-Sankey
Total Energy Inputs;Stocks;1;Prince Edward Island;2010;Super-Sankey
Energy Use;Industrial;4;Prince Edward Island;2010;Super-Sankey
Energy Use;Transportation;10;Prince Edward Island;2010;Super-Sankey
Natural Gas Production;Energy Production;1;Quebec;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;657;Quebec;2010;Super-Sankey
Energy Use;Agriculture;33;Quebec;2010;Super-Sankey
Energy Use;Commercial;160;Quebec;2010;Super-Sankey
Total Energy Inputs;Energy Exports;233;Quebec;2010;Super-Sankey
Energy Imports;Total Energy Inputs;952;Quebec;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;261;Quebec;2010;Super-Sankey
Total Use;Non-energy use;99;Quebec;2010;Super-Sankey
Energy Use;Producer consumption;95;Quebec;2010;Super-Sankey
Energy Use;Public administration;41;Quebec;2010;Super-Sankey
Energy Use;Residential;269;Quebec;2010;Super-Sankey
Total Energy Inputs;Stocks;44;Quebec;2010;Super-Sankey
Energy Use;Industrial;494;Quebec;2010;Super-Sankey
Energy Use;Transportation;480;Quebec;2010;Super-Sankey
Crude Oil Production;Energy Production;964;Saskatchewan;2010;Super-Sankey
NGL's Production;Energy Production;2;Saskatchewan;2010;Super-Sankey
Natural Gas Production;Energy Production;258;Saskatchewan;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;16;Saskatchewan;2010;Super-Sankey
Total Coal Production;Energy Production;154;Saskatchewan;2010;Super-Sankey
Energy Use;Agriculture;55;Saskatchewan;2010;Super-Sankey
Energy Use;Commercial;39;Saskatchewan;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;Saskatchewan;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;Saskatchewan;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Saskatchewan;2010;Super-Sankey
Total Use;Non-energy use;1;Saskatchewan;2010;Super-Sankey
Energy Use;Producer consumption;1;Saskatchewan;2010;Super-Sankey
Energy Use;Public administration;8;Saskatchewan;2010;Super-Sankey
Energy Use;Residential;50;Saskatchewan;2010;Super-Sankey
Total Energy Inputs;Stocks;1;Saskatchewan;2010;Super-Sankey
Energy Use;Industrial;115;Saskatchewan;2010;Super-Sankey
Energy Use;Transportation;176;Saskatchewan;2010;Super-Sankey
Natural Gas Production;Energy Production;2;Yukon;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Yukon;2010;Super-Sankey
Energy Use;Agriculture;0;Yukon;2010;Super-Sankey
Energy Use;Commercial;1;Yukon;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon;2010;Super-Sankey
Total Use;Non-energy use;1;Yukon;2010;Super-Sankey
Energy Use;Producer consumption;1;Yukon;2010;Super-Sankey
Energy Use;Public administration;1;Yukon;2010;Super-Sankey
Energy Use;Residential;1;Yukon;2010;Super-Sankey
Total Energy Inputs;Stocks;1;Yukon;2010;Super-Sankey
Energy Use;Industrial;1;Yukon;2010;Super-Sankey
Energy Use;Transportation;5;Yukon;2010;Super-Sankey
Crude Oil Production;Energy Production;38;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
NGL's Production;Energy Production;0;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Natural Gas Production;Energy Production;8;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;2;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Energy Use;Agriculture;1;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Energy Use;Commercial;5;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
